text_a	text_b	label
经济适用房能贷款吗？	经济适用房能贷款吗	1
兔子有什么颜色	兔子是什么颜色的？	1
您是要注册支付宝的账户吗	注销成功就可以认证其他的支付宝账户了	0
建议您在联系卖家看看的哦	满就送彩票业务代发代扣.建议您联系淘宝的客服核实.	0
支付宝如何解冻？	支付宝怎样提现	1
怎样让自己快速长高	怎样可以快速长高？	1
这图片是什么电影？	这是什么电影的图片	1
红楼梦的主题曲是什么？	红楼梦的主题曲是什么	1
写合肥春节习俗，短一点的，语言简洁	春节的习俗，短一点的，100字以下的	0
世界名车最好的是什么？	世界名车的名字有什么。	0
寻小时候看过的一部电视剧	求找一部小时候看过的动画片。	0
看拼音，写词语．	看拼音，写词语。	1
给好朋友留言留什么	给一般朋友留言留什么	1
好的，非常感谢您对支付宝的支持，祝您生活愉快。	最近天气变化频繁，请您注意更换衣裳，保持身体健康，并祝您生活愉快！	1
安徽属于哪个地区	安徽肖县属于哪个地区	0
吃一半，还一半的谜底是什么	一半去一半还有一半谜底是什么啊	1
手机怎样下载电视剧	怎样把电视剧下载到手机上	1
鹿茸血怎么吃	鹿茸粉怎么吃	0
剑灵这是什么衣服	剑灵，这是什么衣服怎么得	1
淘宝的域名是什么	淘宝域名起什么好	0
您把收支明细截图给我看下的	您好，是帮您代付人的收支明细截图提供给您，您在操作上传找回支付密码即可	0
有什么工作可以在家做	有什么工作能在家里做	1
淘宝和天猫的货有什么区别吗	淘宝和天猫有什么区别	1
石可以组什么四字词语	茶让人什么加一个四字词语	0
怎样才能学好英语。	怎样才能把英语学好呢	1
怎么下载解压的游戏	西西音乐的歌怎么才能下载啊	0
朝霞不出门，()	朝霞不出门,.	1
老虎挂念珠歇后语	老虎脖子挂铃铛歇后语大全	0
吉林大学珠海学院怎么样?	吉林大学珠海学院怎样？	1
苹果怎么可以煮着吃吗？	苹果可以吃吗？	0
在哪里可以看《匆匆那年》	《人间中毒》在哪可以看完整版啊	0
说的比唱的好打一成语疯狂猜图	疯狂猜图成语你上我下	0
哈奇小镇玩不了，说没有关联的程序来执行操作	更新后的哈奇小镇我为什么不能接任务了？	0
求《我的贴身校花》全集	求我的贴身校花全集	1
上班的时候请假用什么理由好？	过年的时候走亲戚买什么好？	0
这个头像有没有情侣头像	有没有这个头像的情侣头像	1
请问这个是什么什么成语？	请问？惊？寒是什么成语	0
脸上黑头怎么去除!	怎么样去除脸上的黑头	1
蛋炒饭用什么炒	蛋炒饭还有什么饭	1
苹果系统怎么降级？	苹果怎么降级系统	1
什么是龙卡通	这叫什么卡通狗？	0
如何提高信用卡额度	信用卡额度怎样提高	1
懂得，打一动物	懂得。打一动物	1
如何让卸载了的东西找回来呢？	如何把卸载的东西，再找回来？	1
载我们约会吧	我们约会吧蔡旸愿为谁买肉	0
求风暴英雄激活码	求风暴英雄激活码！	1
早上吃什么减肥	减肥的人早上吃什么	1
翅膀图片怎么画	翅膀怎么画图片	1
宿的形近字，急急急急急。	100字的摘录。急急急急急！	0
长春特产是什么	长春有什么特产？	1
什么地方的简称是晋	蓉是什么地方的简称？	0
全民飞机大战如何刷钻石	全民飞机大战的钻石怎么刷	1
苹果手机可以装内存卡吗	苹果手机好用吗	0
西瓜子怎么吃	西瓜子怎么炒好剥	0
肺部感染是什么引起的？	肺部感染由什么引起的_肺部感染	1
西安到郑州高铁多少钱？	郑州到西安的高铁多少钱？	1
端午节都吃什么？	什么时候端午节	0
现在有什么好看的综艺节目	有什么好看的综艺节目啊	1
